     index            Field [G]         Intensity []
       803                520.8   -0.553113861863699
       804                521.2   -0.550649267335341
       805                521.6   -0.548131196943924
       806                  522   -0.545920444711653
       807                522.4   -0.544381430170337
       808                522.8   -0.543611515232104
       809                523.2   -0.543355968741889
       810                523.6    -0.54325553021682
       811                  524   -0.543224190630416
       812                524.4   -0.543590630471711
       813                524.8   -0.544841393631621
       814                525.2   -0.547171768927067
       815                525.6   -0.550228945986428
       816                  526   -0.553264718304628
       817                526.4   -0.555568801439687
       818                526.8   -0.556847187895252
       819                527.2   -0.557303115647851
       820                527.6   -0.557434054457176
       821                  528   -0.557726474640365
       822                528.4   -0.558422374389816
       823                528.8   -0.559444426887864
       824                529.2   -0.560489465996047
       825                529.6   -0.561225662957578
       826                  530   -0.561458968608798
       827                530.4   -0.561147930131003
       828                530.8   -0.560285993539076
       829                531.2   -0.558818768634469
       830                531.6    -0.55673399791567
       831                  532   -0.554248487151895
       832                532.4   -0.551856132066151
       833                532.8   -0.550102932142716
       834                533.2   -0.549230855690811
       835                533.6   -0.548996199336146
       836                  534   -0.548852145848395
       837                534.4   -0.548386338077424
       838                534.8   -0.547669093142619
       839                535.2   -0.547202208720412
       840                535.6   -0.547475473299425
       841                  536   -0.548499537174568
       842                536.4   -0.549746735774482
       843                536.8   -0.550580466380894
       844                537.2   -0.550790949625712
       845                537.6   -0.550746226736764
       846                  538   -0.551041942983521
       847                538.4   -0.552011393126057
       848                538.8   -0.553546764339216
       849                539.2   -0.555320186265684
